window,batch,lr,hidden,dropout,r2,rmse,accuracy
20,32,0.0005,256,0.2,-0.5251055955886841,0.013428534678971826,23.076923076923077
30,128,0.001,64,0.2,-0.5813179016113281,0.013832232205776831,21.511627906976745
20,32,0.0001,64,0.5,-0.6015220880508423,0.013760846122143174,20.87912087912088
40,128,0.0001,64,0.5,-0.6802568435668945,0.014369730672813292,21.604938271604937
40,32,0.0001,128,0.2,-0.6863420009613037,0.014395727926464048,24.074074074074073
30,128,0.0005,128,0.2,-0.7109060287475586,0.014387845185104551,22.093023255813954
30,128,0.0001,64,0.3,-0.7282379865646362,0.01446053821868661,20.930232558139537
30,32,0.0001,64,0.3,-0.7310186624526978,0.014472167094325965,17.441860465116278
20,128,0.0005,64,0.3,-0.8956836462020874,0.014971371732657002,17.582417582417584
30,64,0.0001,64,0.5,-1.02586030960083,0.015656238859043232,25.0
40,64,0.0001,64,0.5,-1.4790911674499512,0.01745448572270381,12.345679012345679
